Sent Date,Section,Subject,Title,Description,Submission Date
2026-06-12,I-A,ENGLISH,Unit - 1 Know your words,"Jai Sri Gurudev Namaste Dear Parents and Students. English homework: To learn the new words of Unit 1 for Know Your Words (Dictation) on 15.6.2026. Words: 1. Clap 2. Hands 3. Know 4. Your 5. Really 6. Want 7. Show 8. Pat 9. Knees 10. Blink. Thank you",2026-06-15
2026-06-11,I-A,MATHEMATICS,Chapter 1 Pre Number concept,Jai shree Gurudev Namaste dear parents. Mathematics Homework. Complete page 5 and 6 in Workbook. Kindly send it tomorrow. Thank you,2026-06-12
2026-06-11,I-A,KANNADA,Textbook,Jai Shri Gurudev! Namaste Dear Parents. Kindly help our children to complete pg.30 in kannada text book. Thank you,2026-06-12
2026-06-10,I-A,ENGLISH,Let Us Revise,Trace and write on page no. 5 in the cursive handwriting book.,2026-06-11
2026-06-10,I-A,ENVIRONMENTAL SCIENCE,Chapter 2. My Body,Jai Shri Gurudev Namaste Dear Parents and Students. Today's EVS Homework. Read the chapter 2. My Body - pg.15. Please bring the textbook tomorrow. Thank You,2026-06-11
2026-06-09,I-A,KANNADA,Strokes,Jai Shri Gurudev! Namaste Dear Parents. Kindly help our children to complete the strokes in kannada text book pg.22-25. Thank you,2026-06-10
2026-06-08,I-A,MATHEMATICS,Chapter-1 pre number concept,Jai Shri Gurudev Namaste dear Parents. Today's Mathematics Homework. Practice Number names 1-20. Thank you.,2026-06-09
2026-06-08,I-A,ENGLISH,Celebrate Life,Please do the 'A' section on page number 22 of the English textbook.,2026-06-09
2026-06-08,I-A,ENVIRONMENTAL SCIENCE,Chapter 1. Myself,"Jai Shri Gurudev Namaste Dear Parents and Students. Today's EVS Homework - My Favourite Things. Activity: Draw a caterpillar and paste pictures of your favourite things on the given chart paper: Food, Sport, Toy, Colour, Cartoon Character. Thank you.",2026-06-09
2026-06-05,I-A,ENGLISH,Activity A on page 18,Please complete Activity A on page 18 in English textbook,2026-06-08
2026-06-05,I-A,KANNADA,Kannada textbook term-1,Jai Shri Gurudev Namaste Dear Parents. Kannada textbook term-1 has been sent with the children. Kindly wrap and label it and send it on Monday. Thank you,2026-06-08
2026-06-05,I-A,MATHEMATICS,Chapter-1 Pre number concept,"Jai Shri Gurudev Namaste dear Parents. Today's Mathematics Homework. Ch-1 Pre Number Concepts Workbook page number 3,4. Thank you",2026-06-08
2026-06-04,I-A,ENVIRONMENTAL SCIENCE,Chapter1. Myself,Jai Shri Gurudev Namaste Dear Parents. Subject: EVS. Children to complete pg.no. 3 to 6 in the workbook (Framework 1 & 2) and submit the book on Monday (08.06.2026). Thank You,2026-06-08
2026-06-03,I-A,ENGLISH,Trace and colour,"Trace and colour the picture in Cursive handwriting book, page no. 4",2026-06-04
2026-06-02,I-A,ENVIRONMENTAL SCIENCE,Chapter 1: Myself,Jai Shri Gurudev Namaste Dear Parents and Children. Today's EVS Homework. Chapter 1. Myself - Show and Tell Activity. Prepare children to talk for one minute about 'My Favourite Toy' for the Show and Tell activity on Thursday (04.06.26). Thank You,2026-06-04
